Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,RSI,Open-Close,High-Low,Volume-Change,Daily-Return,Price-Range,Price-Volatility,Volume-Momentum,Return-Momentum,Return-MA
01-06-2015,435.8684082,448.2015076,434.8778076,446.8889465,429.678894,9043078,433.3329382,,62.19556005,1.485931396,13.32369995,-0.330715922,0.028791377,13.32369995,6.475104534,65508828,0.012751484,0.001275148
02-06-2015,448.6224976,455.0862427,441.5396423,445.105835,427.9644775,9312587,433.6301208,,55.4308411,1.733551025,13.54660034,0.029802795,-0.003990055,13.54660034,6.623791832,68123652,0.004274834,0.000427483
03-06-2015,445.2792053,450.9504395,440.0784912,443.9666443,426.8691101,7174605,434.0283459,,57.55304338,0.173370361,10.87194824,-0.229579815,-0.00255937,10.87194824,6.688454649,71279106,-0.013135741,-0.001313574
04-06-2015,447.8547974,453.7984314,442.0844727,452.0648804,434.6555176,7352336,434.6088434,,64.65028822,3.888153076,11.71395874,0.024772235,0.018240641,11.71395874,7.151710497,73665924,0.018418436,0.001841844
05-06-2015,450.678009,454.1699219,447.9786072,449.6131287,432.2981873,6030112,435.2606653,,56.77258623,-1.386871338,6.191314697,-0.179837265,-0.005423451,6.191314697,7.388024887,75842952,0.005077512,0.000507751
08-06-2015,449.1425781,450.7275391,437.4038391,438.5678101,421.6782227,5005867,435.6321442,,46.33791735,-0.470550537,13.32369995,-0.169855054,-0.024566272,13.32369995,7.356225432,77794919,-0.009144119,-0.000914412
09-06-2015,437.6267395,441.1434021,434.5558472,437.7010193,420.8448486,4224271,436.0165009,,40.04747691,-0.941070557,6.587554932,-0.15613599,-0.001976412,6.587554932,7.286781188,77630212,-5.29E-05,-5.29E-06
10-06-2015,438.8402405,450.678009,438.3449402,448.6472778,431.3695374,6234576,436.7743176,,53.31866535,1.139221191,12.33306885,0.475893947,0.025008529,12.33306885,7.193248498,80136684,0.024164286,0.002416429
11-06-2015,448.7463379,450.4798889,432.7232056,434.4567871,417.7255249,6773174,437.4226721,,41.54528956,0.099060059,17.75668335,0.086388874,-0.031629504,17.75668335,6.34406048,74662175,0.003265645,0.000326564
12-06-2015,435.3731079,442.158783,435.0016174,440.7471619,423.7736206,9942471,438.2062445,,48.55814458,0.916320801,7.157165527,0.467919029,0.014478712,7.157165527,5.831551643,71093077,0.016374194,0.001637419
15-06-2015,443.2484436,448.2510376,440.8214417,446.6412964,429.4407654,5934228,438.9566315,,55.2526726,2.501281738,7.429595947,-0.403143544,0.013373052,7.429595947,5.927891812,67984227,0.000955868,9.56E-05
16-06-2015,445.2792053,448.2510376,442.4064331,447.730957,430.4884949,6428372,439.6292554,,55.66007958,-1.362091064,5.844604492,0.083270141,0.002439677,5.844604492,6.05325533,65100012,0.007385601,0.00073856
17-06-2015,448.2757874,466.7506714,442.8026733,461.2280273,443.4657898,12106356,440.6847504,,65.17808039,0.544830322,23.94799805,0.883269357,0.030145493,23.94799805,6.988688129,70031763,0.040090464,0.004009046
18-06-2015,461.8966675,486.3895264,461.8719177,484.8788452,466.2057495,22782770,442.1320319,,72.25496359,0.668640137,24.51760864,0.88188502,0.051277929,24.51760864,10.24233204,85462197,0.073127752,0.007312775
19-06-2015,486.6371765,498.4749451,486.6371765,493.6457214,474.6350708,21095589,443.427254,,71.30924233,1.758331299,11.83776855,-0.07405513,0.01808055,11.83776855,13.67449118,100527674,0.096631753,0.009663175
22-06-2015,493.7943115,499.6141663,488.6183777,491.1939697,472.27771,8950414,444.3841833,,70.87727302,0.148590088,10.99578857,-0.575721067,-0.004966622,10.99578857,16.00193539,104472221,0.116231403,0.01162314
23-06-2015,491.6645203,496.642334,490.8472595,492.8284912,473.8493042,7387458,445.2821716,,72.03484277,0.470550537,5.795074463,-0.174623878,0.00332765,5.795074463,17.71079706,107635408,0.121535465,0.012153547
24-06-2015,492.8284912,498.4997253,488.692688,490.7977295,471.8967285,8585283,445.9597491,,68.47825264,0,9.807037354,0.162143054,-0.004120626,9.807037354,19.13154813,109986115,0.092406311,0.009240631
25-06-2015,488.8660278,499.7627563,487.8754272,497.5586548,478.3973083,12541312,446.761153,,71.97002941,-1.93170166,11.8873291,0.460791916,0.01377538,11.8873291,20.67536095,115754253,0.137811195,0.013781119
26-06-2015,495.2554626,502.2888184,493.0266113,495.6517029,476.5638123,9676173,447.4778589,,78.54840221,-2.303192139,9.262207031,-0.228456082,-0.003832617,9.262207031,21.71147138,115487955,0.119499865,0.011949987
29-06-2015,489.3117981,492.2588806,481.4364624,490.7729492,471.8728638,9307965,448.1118488,,75.51796422,-6.339904785,10.82241821,-0.038053061,-0.009843109,10.82241821,22.49388655,118861692,0.096283705,0.00962837
30-06-2015,490.3024292,496.7166138,489.3613281,495.3545227,476.2780151,10699811,449.2456018,,73.9218466,-0.47052002,7.355285645,0.149532793,0.009335424,7.355285645,23.41152726,123133131,0.103179451,0.010317945
01-07-2015,495.800293,500.4809265,495.800293,498.1034851,478.9211426,6841396,450.52547,,86.92526227,0.445770264,4.680633545,-0.360605902,0.005549485,4.680633545,24.43443561,117868171,0.078583443,0.007858344
02-07-2015,499.7627563,505.0872803,498.8216553,500.6790771,481.397522,7352247,451.8241602,,86.33631139,1.65927124,6.265625,0.074670579,0.005170797,6.265625,25.32360236,102437648,0.032476312,0.003247631
03-07-2015,500.1342163,502.1401978,496.8156738,498.8711853,479.6593018,6383048,453.1134387,,83.31748056,-0.54486084,5.324523926,-0.131823509,-0.00361088,5.324523926,26.03917613,87725107,0.010784882,0.001078488
06-07-2015,493.3733215,504.6662598,492.9275513,503.0069885,483.6357727,5647711,454.4671069,,83.9415555,-5.49786377,11.7387085,-0.115201546,0.008290323,11.7387085,26.69088551,84422404,0.024041827,0.002404183
07-07-2015,500.7533569,503.5270691,495.3049927,496.9147339,477.7781677,5212640,455.7345923,,74.10500495,-2.253631592,8.222076416,-0.077034926,-0.01211167,8.222076416,26.75414465,82247586,0.008602507,0.000860251
08-07-2015,493.2494812,499.6141663,491.16922,493.6209717,474.6112671,7010484,457.0362537,,58.14488155,-3.665252686,8.444946289,0.344900856,-0.006628425,8.444946289,26.57323005,80672787,0.006094708,0.000609471
09-07-2015,493.3237915,495.800293,486.9591064,489.0641479,470.2299194,7497465,458.3973517,,45.36806153,-0.297180176,8.841186523,0.069464676,-0.009231422,8.841186523,25.91898567,75628940,-0.016912095,-0.001691209
10-07-2015,490.8967896,497.2862244,490.475769,496.1965637,477.087677,7435026,459.7787573,,54.62031014,1.832641602,6.810455322,-0.008328015,0.014583804,6.810455322,25.32862938,73387793,0.001504327,0.000150433
13-07-2015,496.1965637,501.4963074,492.902771,498.7721252,479.5639954,4550503,460.92836,,55.39564837,0,8.593536377,-0.387964077,0.005190607,8.593536377,25.22594227,68630331,0.016538043,0.001653804
14-07-2015,499.7132263,501.0010071,492.9275513,494.215332,475.1826782,4588659,461.9749396,,52.96645952,0.941101074,8.073455811,0.008385007,-0.009136022,8.073455811,24.79914099,62519179,-0.001933403,-0.00019334
15-07-2015,495.1811829,502.4374084,495.0821228,500.8276672,481.5404053,6245436,463.2716486,,52.84482241,0.96585083,7.355285645,0.361059081,0.013379462,7.355285645,24.37379629,61923219,0.005896574,0.000589657
16-07-2015,501.2486572,509.0744934,500.8276672,507.0437317,487.5170593,6855254,464.7867865,,59.22213625,0.42098999,8.246826172,0.097642182,0.012411584,8.246826172,24.37064995,61426226,0.01313736,0.001313736
17-07-2015,507.8114624,510.7337646,504.2204895,506.0531311,486.5646362,4705056,466.0943921,,63.20069391,0.767730713,6.513275146,-0.313656941,-0.001953679,6.513275146,24.07993912,59748234,0.014794561,0.001479456
20-07-2015,509.0744934,510.1393738,504.1709595,507.5638123,488.0171204,2929764,467.3702979,,61.13873625,3.021362305,5.968414307,-0.377315807,0.002985222,5.968414307,23.02156709,57030287,0.009489461,0.000948946
21-07-2015,509.1735535,509.3964233,496.6670837,499.168396,479.9450684,3656619,468.7482367,,50.88079051,1.609741211,12.7293396,0.248093362,-0.016540612,12.7293396,21.37128546,55474266,0.005060518,0.000506052
22-07-2015,497.7815247,522.0267334,497.5834045,520.2683716,500.2324524,7988304,470.3857147,,62.40199575,-1.386871338,24.44332886,1.184614804,0.042270255,24.44332886,20.96562406,56452086,0.053959199,0.00539592
23-07-2015,521.803833,528.911438,515.7115479,517.7423096,497.8036804,8603702,472.0410236,,61.83965803,1.535461426,13.19989014,0.077037379,-0.004855306,13.19989014,18.88777547,57558323,0.058335316,0.005833532
24-07-2015,519.0796509,519.8969116,505.7559509,507.7124023,488.1600037,6045493,473.5378357,,52.74885375,1.337341309,14.14096069,-0.297338169,-0.019372392,14.14096069,16.43062816,56168790,0.024379119,0.002437912
27-07-2015,507.638092,510.114624,496.1717834,497.954895,478.7782898,9284709,474.6651501,,50.58269782,-0.074310303,13.94284058,0.535806757,-0.019218572,13.94284058,13.77150343,60902996,-3.01E-05,-3.01E-06
28-07-2015,499.4160461,503.5765991,495.3545227,500.3818665,481.1117554,6176196,475.8013794,,53.82459295,1.461151123,8.222076416,-0.334799184,0.004873878,8.222076416,10.3606419,62490533,0.01397984,0.001397984
